TAHUN,NEGERI,"JUMLAH 
KMLG","JUMLAH 
KMLG 
MAUT","JUMLAH 
KMLG 
PARAH","JUMLAH 
KMLG 
RINGAN","JUMLAH 
KMLG 
ROSAK 
SAHAJA","JUMLAH 
KEMATIAN","JUMLAH 
CEDERA 
PARAH","JUMLAH 
CEDERA 
RINGAN"
2011,PERLIS ,1791,73,231,246,1241,79,259,288
2011,KEDAH ,19699,506,499,1023,17671,515,608,1329
2011,PULAU PINANG ,37158,375,160,320,36303,392,197,380
2011,PERAK ,33506,739,700,1267,30800,811,898,1631
2011,SELANGOR,128876,1015,457,689,126715,1070,566,807
2011,KUALA LUMPUR ,58795,230,83,497,57985,236,83,498
2011,NEGERI SEMBILAN ,21157,343,444,945,19425,374,568,1221
2011,MELAKA ,14720,224,147,382,13967,240,195,509
2011,JOHOR ,59501,1001,366,1007,57127,1073,492,1254
2011,PAHANG ,19001,485,255,403,17858,563,447,661
2011,KELANTAN ,9603,343,620,1437,7203,392,800,1819
2011,TERENGGANU ,10684,274,251,349,9810,292,317,509
2011,SABAH  ,16585,350,428,467,15340,398,552,833
2011,SARAWAK ,17964,391,234,406,16933,442,346,626
2012,PERLIS ,1881,69,286,233,1293,71,323,277
2012,KEDAH ,19935,529,475,1036,17895,548,486,1074
2012,PULAU PINANG ,37851,373,129,176,37173,400,157,244
2012,PERAK ,34714,693,564,1072,32385,753,735,1583
2012,SELANGOR,129106,1053,408,693,126952,1102,458,744
2012,KUALA LUMPUR ,61872,241,70,357,61204,249,73,365
2012,NEGERI SEMBILAN ,22146,328,479,871,20468,352,595,1020
2012,MELAKA ,15195,222,169,406,14398,243,203,474
2012,JOHOR ,62316,985,378,1263,59690,1073,454,1388
2012,PAHANG ,20554,484,238,373,19459,540,369,592
2012,KELANTAN ,9968,347,500,1560,7561,392,647,1839
2012,TERENGGANU ,10861,270,264,413,9914,301,356,550
2012,SABAH  ,17446,398,516,470,16062,450,674,802
2012,SARAWAK ,18578,389,218,475,17496,443,338,702
2013,PERLIS ,1895,68,226,233,1368,72,248,278
2013,KEDAH ,20228,487,379,787,18575,517,403,881
2013,PULAU PINANG ,39361,371,132,76,38782,381,147,94
2013,PERAK ,35408,707,439,795,33467,770,576,1006
2013,SELANGOR,135024,964,164,356,133540,1019,217,407
2013,KUALA LUMPUR ,64527,226,71,67,64163,243,75,71
2013,NEGERI SEMBILAN ,23066,352,383,759,21572,396,502,984
2013,MELAKA ,16083,244,109,202,15528,258,145,260
2013,JOHOR ,64600,1032,271,1055,62242,1128,356,1233
2013,PAHANG ,20130,505,175,356,19094,592,299,541
2013,KELANTAN ,9748,340,396,917,8095,378,524,1167
2013,TERENGGANU ,10996,294,199,226,10277,320,256,323
2013,SABAH  ,17438,347,456,304,16331,420,597,585
